name,value,year,lastValue,rank
Philippe Coutinho (Barcelona),105000000,2018,89000000,1
Paul Pogba (Manchester United),89000000,2016,85300000,2
Gareth Bale (Real Madrid),85300000,2013,80000000,3
Cristiano Ronaldo (Real Madrid),80000000,2009,32500000,4
Robinho (Manchester City),32500000,2008,30800000,5
Andriy Shevchenko (Chelsea),30800000,2006,29100000,6
Rio Ferdinand (Manchester United),29100000,2002,28100000,7
Juan Sebastián Verón (Manchester United),28100000,2001,22500000,8
Nicolas Anelka (Real Madrid),22500000,1999,15000000,9
Alan Shearer (Newcastle United),15000000,1996,8500000,10
Stan Collymore (Liverpool),8500000,1995,7500000,11
Dennis Bergkamp (Arsenal),7500000,1995,7000000,12
Andy Cole (Manchester United),7000000,1995,5500000,13
Paul Gascoigne (Lazio),5500000,1992,5500000,14
David Platt (Bari),5500000,1991,5500000,15
Trevor Steven (Marseille),5500000,1991,4250000,16
Chris Waddle (Marseille),4250000,1989,3200000,17
Ian Rush (Juventus),3200000,1987,2300000,18
Mark Hughes (Barcelona),2300000,1986,1500000,19
Ray Wilkins (Milan),1500000,1984,1500000,20
Bryan Robson (Manchester United),1500000,1981,1469000,21
Andy Gray (Wolverhampton Wanderers),1469000,1979,1450000,22
Steve Daley (Manchester City),1450000,1979,1180000,23
Trevor Francis (Nottingham Forest),1180000,1979,516000,24
David Mills (West Bromwich Albion),516000,1979,500000,25
Kevin Keegan (Hamburger SV),500000,1977,350000,26
Bob Latchford (Everton),350000,1974,225000,27
David Nish (Derby County),225000,1972,220000,28
Alan Ball (Arsenal),220000,1971,200000,29
Martin Peters (Tottenham Hotspur),200000,1970,165000,30
Allan Clarke (Leeds United),165000,1969,150000,31
Allan Clarke (Leicester City),150000,1968,115000,32
Denis Law (Manchester United),115000,1962,85000,33
Gerry Hitchens (Internazionale),85000,1961,65000,34
John Charles (Juventus),65000,1957,35000,35
Eddie Firmani (Sampdoria),35000,1955,34500,36
Jackie Sewell (Sheffield Wednesday),34500,1951,30000,37
Trevor Ford (Sunderland),30000,1950,26500,38
Eddie Quigley (Preston North End),26500,1949,24000,39
Johnny Morris (Derby County),24000,1949,20500,40
Len Shackleton (Sunderland),20500,1948,20000,41
Tommy Lawton (Notts County),20000,1947,15500,42
Billy Steel (Derby County),15500,1947,14500,43
Bryn Jones (Arsenal),14500,1938,10890,44
David Jack (Arsenal),10890,1928,6500,45
Bob Kelly (Sunderland),6500,1925,5500,46
Warney Cresswell (Sunderland),5500,1922,5000,47
Syd Puddefoot (Falkirk),5000,1922,4500,48
David Mercer (Sheffield United),4500,1920,2500,49
Percy Dawson (Blackburn Rovers),2500,1914,2000,50
George Utley (Sheffield United),2000,1913,1800,51
John Simpson (Blackburn Rovers),1800,1911,1000,52
Alf Common (Middlesbrough),1000,1905,700,53
Andy McCombie (Newcastle United),700,1904,100,54
Willie Groves (Aston Villa),100,1893,0,55
